antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'P00442'}),frozenset({'P00270'}),0.09291628334866606,0.09452621895124196,0.08923643054277829,0.9603960396039604,10.16010214160102,1.0,0.08045340559882665,22.863212971481122,0.9939278768741767,0.9086651053864169,0.956261615493528,0.9522174845221748
frozenset({'P00270'}),frozenset({'P00442'}),0.09452621895124196,0.09291628334866606,0.08923643054277829,0.9440389294403893,10.16010214160102,1.0,0.08045340559882665,16.209191632334694,0.9956950841736736,0.9086651053864169,0.9383066088252567,0.9522174845221748
frozenset({'P00387'}),frozenset({'P00271'}),0.09590616375344986,0.09958601655933763,0.09383624655013799,0.9784172661870503,9.824845896954491,1.0,0.08428533373844438,41.71918123275052,0.9935000074820057,0.923076923076923,0.9760302103145069,0.9603402728163888
frozenset({'P00271'}),frozenset({'P00387'}),0.09958601655933763,0.09590616375344986,0.09383624655013799,0.9422632794457274,9.824845896954491,1.0,0.08428533373844438,15.658905243790228,0.9975602884832092,0.923076923076923,0.9361385751793495,0.9603402728163888
